Mean_Temp,Max_Temp,Total_Rain,Rain_Days,Temp_Variability,Mean_Humidity,Total_GDD,Mean_Solar,Early_Rain_30pct,Late_Rain_30pct,Duration_Weeks,Yield,Distance_to_Real
28.167063,39.985588,1214.824,19.714855,1.5166792,78.43876,438.9334,209.80745,354.6593,67.25813,22.856056,2.0342890832408065,0.96162527124869
27.446377,42.8697,0.0,5.0505543,4.1577578,51.515553,479.53647,256.5537,1.7604696,38.315083,25.668633,2.680800556581709,0.45283357522708184
27.274912,42.46746,70.549934,6.5181546,3.892965,55.31867,467.34903,256.16928,0.0,58.116306,25.346838,3.052261151348148,0.6809463681982838
27.326714,42.150406,252.07318,8.675403,3.6227562,59.916588,457.81235,252.4048,30.888582,61.984127,24.933218,2.2911529671241997,0.9407332931451206
27.819416,39.43549,1274.6694,19.33572,1.586902,78.70662,429.9021,206.83145,340.94473,103.90068,22.684193,1.4777635882477282,0.8772968943526964
27.415379,42.638912,199.1518,7.5192227,3.8355608,57.12721,475.46414,256.7538,13.324526,64.027756,25.914745,2.359965705970632,0.769983820499559
28.223188,40.156372,1238.7925,19.561584,1.6778091,78.3098,440.9475,213.02097,335.84943,71.04654,23.312847,2.185698309296173,0.929372234965
27.389938,42.704494,24.28034,5.884345,4.044371,53.145733,473.99496,255.8265,7.141573,41.617683,25.537956,2.592711424198225,0.4880433217951198
27.957663,38.578526,1536.8759,20.189426,1.3604462,80.333626,429.17252,195.47173,449.3725,115.34805,22.620117,2.780222696526773,1.1491181870766098
28.029068,36.909702,2336.1714,20.442678,1.1726228,81.97088,426.24008,181.88075,700.4187,160.61945,22.771267,2.7481193171380953,0.6209898554935553
27.213383,41.91776,207.04437,8.783541,3.504969,59.183155,438.65677,253.72049,15.602678,49.997543,24.115616,2.137625508783428,0.986160538821497
27.609356,40.168976,1003.58154,18.20273,1.827279,75.96682,425.5941,218.74019,245.54451,91.1487,22.620207,1.9812768136309622,0.8495889106693181
27.232504,42.34198,119.11933,7.1789284,3.8239744,56.70786,462.84927,255.9485,4.9753437,63.26891,25.296051,2.6948825789165114,0.7540528458040933
28.069647,40.513977,1115.4673,19.510738,1.728788,78.57254,448.36783,216.55298,297.28632,78.75764,23.632767,2.0167221670755504,1.0377898578687104
27.28645,42.222496,257.9569,8.728681,3.6062899,60.270313,460.9316,254.17128,22.946413,70.67023,25.239902,2.9177237462277255,1.007647919432627
27.282963,42.397926,57.842293,6.4436927,3.9580088,54.86276,469.57346,256.23166,6.218218,60.052517,25.451874,2.783730430860966,0.6738598270180793
27.755983,40.825714,833.71814,15.646333,2.321556,71.61894,435.72498,230.04997,195.95747,59.869774,23.303928,1.638857013400226,1.1542330252008406
27.316326,42.479965,141.64941,7.225735,3.8212788,56.663265,468.61203,256.05106,6.117235,61.258602,25.491558,2.6920430034917406,0.7464293032182672
27.346424,41.993683,362.15652,10.771281,3.2897644,63.75433,458.48032,249.21565,50.25443,73.11945,24.958637,2.191672331045819,1.308438587015148
24.5299,37.02196,299.44666,6.7542834,1.2506564,58.54607,215.94786,213.02934,56.63895,43.29407,12.101217,2.1915746632181285,3.7048319845956987
28.041525,39.080738,1407.0586,19.819796,1.4902515,79.07344,430.90616,201.75754,404.31445,98.88596,22.849413,2.011419122750179,1.1394413423258747
28.031359,37.15629,2169.703,20.494476,1.200618,82.37853,427.38922,182.51987,639.4186,157.34145,22.861603,2.8727156079651905,0.8032368436393007
27.259964,42.39035,129.16034,7.571791,3.7591846,56.87121,457.52628,255.54454,12.610445,55.0336,25.105577,2.317190394803602,0.740420438105379
27.894556,36.89543,2270.5115,20.028212,1.1838664,81.021545,426.41537,183.3968,674.8713,161.90642,22.620207,3.1615350901626735,0.6554181214842665
27.240404,38.77544,1158.0613,17.682617,1.4690862,75.45909,382.74698,206.0509,340.1289,96.18762,20.427124,1.7297666929468656,1.2224742292665187
27.229109,42.353085,119.157234,7.697179,3.7229998,57.161972,451.69904,255.14156,13.143999,50.186497,24.84579,2.5884486711880137,0.751848365222499
27.872002,40.488514,1055.3713,19.071665,1.8099307,77.37083,441.55057,219.1177,262.8636,86.91167,23.414038,1.6723105152867441,0.9610336449972251
27.149687,42.148067,170.24463,7.8548756,3.7134948,58.571453,457.45016,256.37134,8.003054,79.13806,25.21679,2.741690541951727,0.9686449359937026
27.798822,38.537262,1558.5963,20.212,1.3656266,80.39359,424.1047,196.68266,448.75778,124.495766,22.423067,2.518802945424394,1.2189347394882506
27.247084,42.269466,165.95972,7.495132,3.741703,57.7728,466.42218,255.35895,7.497362,71.46578,25.429688,2.608258842461327,0.846535960823291
28.068802,38.047684,1802.5719,20.254423,1.3087826,80.94736,434.50195,190.32895,524.4926,129.0494,22.876698,2.554452866789827,0.938860240668526
28.011395,40.02273,1197.876,19.058,1.7548759,77.38152,434.5401,214.26709,309.78354,80.16902,23.10186,2.473641441845579,0.9742706488251707
27.452656,41.638744,411.9252,11.626475,3.1059878,64.83643,447.5916,243.93916,96.421844,72.05673,24.386364,2.2082662169905,1.4405919250531432
27.321173,42.72708,53.001595,6.4019146,3.977502,54.26795,468.7128,257.8655,0.08967792,48.61604,25.594017,2.8615142882671596,0.6129366123373231
27.229578,42.69148,0.0,6.2879577,4.089164,53.580956,471.36996,261.1948,0.0,55.579296,25.695932,2.6000471023289498,0.7138804722821233
27.217344,41.719482,245.1214,9.814392,3.4034016,60.911446,444.4523,249.70863,43.64127,74.72944,24.3344,2.12227053414024,1.2174668995266071
27.354939,42.653316,105.39832,6.796614,3.9140954,55.607384,468.90494,257.29813,0.005342596,56.053646,25.48392,2.6078900796276634,0.7024657140248233
27.29106,42.300335,216.9732,8.204545,3.6934803,58.701653,463.2569,254.84988,15.637484,65.417145,25.328108,2.532870086690905,0.8753373575480414
27.36733,42.765774,0.0,4.848876,4.1655464,52.11586,477.89862,258.1316,0.0,56.0434,25.765131,3.081316592715133,0.6479148521612945
28.200203,40.396145,1228.2078,18.824362,1.7261866,78.36417,449.67438,213.05478,348.35907,70.5552,23.567698,1.7310514103006196,0.8899128764487965
27.888723,40.75279,932.7126,17.145756,2.0740838,74.61727,435.67184,225.35582,240.57492,64.44878,23.135576,1.7927426419405774,1.0219288006526746
27.619184,41.655575,605.75494,14.078217,2.7325807,69.5865,450.25604,240.14532,123.312096,71.92169,24.400787,1.9208101213718307,1.2832023241074637
27.402315,42.955856,0.0,4.7495775,4.186367,50.964405,477.73303,258.30444,0.0,39.101395,25.675446,2.9281668320110676,0.5090204514558364
27.265493,42.34953,109.33686,7.18772,3.8357606,56.40836,465.236,255.6978,10.20302,60.637997,25.431034,2.720664085895022,0.71335459991021
27.184946,42.00341,202.17657,8.438203,3.6159618,59.473923,456.7608,253.96527,20.234606,73.92957,25.108736,1.990094045455706,0.9785623406793893
28.186787,39.12462,1483.8842,20.232792,1.4805592,80.26534,439.44946,200.41321,418.78406,99.919,23.184166,2.2633481816675016,1.098429000238136
